episode,carbon_emissions,unmet_hours,ramping,1-load_factor,daily_peak,all_time_peak,1-thermal_resilience,normalized_unserved_energy
1,1527.6434075291431,0.41964285714285715,4125.029230395146,0.44606001601385925,92.53634020608955,96.97819627551968,0.02976190476190476,0.15346423855286084
2,1401.7473101521755,0.3958333333333333,3854.533961072074,0.45448672584476346,89.66719716962018,95.24285761534719,0.050595238095238096,0.14173555086901649
3,1570.8240781333975,0.4166666666666667,4031.4485741792605,0.4295630654312602,92.52009755604081,98.27594453288003,0.05654761904761905,0.15680927631958028
4,1494.149258909487,0.44642857142857145,3813.011377331688,0.4419838047059892,88.43615844399262,97.45243079845011,0.041666666666666664,0.1494774850705036
5,1554.997509452756,0.42857142857142855,3535.5848409674445,0.4262334972238714,87.8329357722292,96.58430283266284,0.06845238095238096,0.1616239505176989
6,1401.0086176570858,0.3898809523809524,3579.978915905498,0.42439400874089217,89.79195964561642,96.96777842906391,0.03869047619047619,0.11637896466458375
7,1465.8087842244745,0.38095238095238093,3901.309858421916,0.43168671840048467,86.61646260009385,93.79746750649237,0.03273809523809524,0.1595390301537567
8,1514.8488247266039,0.44047619047619047,3666.298085158669,0.4272830090995956,87.41011269120837,92.37105473757795,0.05357142857142857,0.14340626901344022
9,1424.4708270411543,0.4017857142857143,3829.6316268421406,0.4256249077844654,86.04577292589734,93.91702760177421,0.02976190476190476,0.16896529626166865
10,1438.9328653841935,0.375,3588.4444921386885,0.4413107984458683,88.3241355204657,92.89530734020246,0.026785714285714284,0.14115916674515247
