episode,carbon_emissions,unmet_hours,ramping,1-load_factor,daily_peak,all_time_peak,1-thermal_resilience,normalized_unserved_energy,emissions_only_score
1,1545.1204597266083,0.4583333333333333,3504.641823578633,0.43338552190300705,90.72496044245916,96.62022269950874,0.05357142857142857,0.1603599905851947,0.0
2,1493.1331649063645,0.3958333333333333,3932.804209801462,0.4218116256264919,85.53008515268246,94.06691706168942,0.044642857142857144,0.13269519759618786,0.0
3,1464.1529317252507,0.38392857142857145,3709.884839964724,0.41765977506986973,84.97048505808219,95.23086199961173,0.017857142857142856,0.15901849210820668,0.0
4,1401.2136133304216,0.4017857142857143,3491.862618876523,0.41731053085630754,87.66136028848439,99.15343523455537,0.03273809523809524,0.14948776679130837,0.0
5,1456.5991514706816,0.41369047619047616,4050.899639280464,0.4359400328967361,85.5118151770338,98.25552805940642,0.03571428571428571,0.1258335692126207,0.0
6,1605.8044720086284,0.39880952380952384,4127.007049715874,0.40162323191800375,88.32977197678247,95.66298151246434,0.03273809523809524,0.13413991704676095,0.0
7,1478.7644413581206,0.43154761904761907,3842.4628448238423,0.42783015044463624,87.29336090121451,98.6993070345274,0.047619047619047616,0.15409304105906796,0.0
8,1434.9945506036902,0.38392857142857145,4108.055623382903,0.4502527956192053,88.26565101537297,97.29654498022416,0.03869047619047619,0.13803304657052864,0.0
9,1451.0122103719123,0.4226190476190476,4249.33145926028,0.4283896105173095,88.6922672993613,94.50435876771945,0.026785714285714284,0.13308894312703093,0.0
10,1546.7619706130517,0.39880952380952384,3945.157118102449,0.4370130208454537,89.95364897508966,93.28370078206795,0.03273809523809524,0.14141594694436907,0.0
