episode,carbon_emissions,unmet_hours,ramping,1-load_factor,daily_peak,all_time_peak,1-thermal_resilience,normalized_unserved_energy,comfort_only_score
1,1508.176117828768,0.38392857142857145,3992.6874691842013,0.42225554511425456,87.38958242287931,95.3467080482105,0.03571428571428571,0.11978800835516047,0.6160714285714286
2,1446.1220851278504,0.37797619047619047,4405.934643970075,0.41784410357214175,84.43820284428175,92.32498282245298,0.03571428571428571,0.13124050710515675,0.6220238095238095
3,1490.8819561500359,0.41369047619047616,4044.908102678413,0.42987196058936994,87.67110002450865,96.38894450268492,0.01488095238095238,0.1494535452899475,0.5863095238095238
4,1417.5561667807415,0.4107142857142857,4208.1559990626865,0.4255717356842935,85.64536903582076,89.01490290121038,0.03869047619047619,0.15638308477133694,0.5892857142857143
5,1558.1508588838265,0.43154761904761907,3565.7661073380477,0.36954483001239447,84.45097545175736,96.16058543594404,0.05357142857142857,0.15274299842075206,0.5684523809523809
6,1468.401691477682,0.3958333333333333,4070.253134699067,0.45000794087984997,90.14564860241492,98.27675908632668,0.03273809523809524,0.12289875745790062,0.6041666666666667
7,1570.0085896142753,0.3869047619047619,4026.943397308374,0.4151831189670646,89.34760401997974,94.56128142015615,0.041666666666666664,0.1514358514938742,0.6130952380952381
8,1608.8231957266626,0.39285714285714285,4064.5111337944663,0.41757766033328736,88.23498333878157,98.70808987012875,0.03273809523809524,0.15636867669908014,0.6071428571428572
9,1443.7160056963003,0.43452380952380953,3971.0943684613762,0.4164694838897657,85.15303462733961,96.11801893874333,0.03869047619047619,0.16965768241225274,0.5654761904761905
10,1420.39250980698,0.3898809523809524,4078.416733628387,0.4146810176083757,86.82655091542695,94.35574637819221,0.041666666666666664,0.13503184815955954,0.6101190476190477
