episode,carbon_emissions,unmet_hours,ramping,1-load_factor,daily_peak,all_time_peak,1-thermal_resilience,normalized_unserved_energy,comfort_emissions_score
1,1351.5604360288517,0.36904761904761907,4283.920445562404,0.45168652311238044,86.71031196875357,92.8070720835324,0.03869047619047619,0.1515792137749895,0.0
2,1420.20922218248,0.41964285714285715,3232.659490717775,0.3865244586664529,84.32855614584271,93.05245144820748,0.044642857142857144,0.14057811608275292,0.0
3,1358.487221119155,0.4375,4120.66241265893,0.47445659729154654,88.74939415771387,95.0760697511037,0.05952380952380952,0.14902381525616423,0.0
4,1479.1107791589607,0.41964285714285715,3853.002387636441,0.4476085057196696,89.0283200497033,97.82046307997464,0.05357142857142857,0.15942852166946075,0.0
5,1391.5871961433245,0.34523809523809523,3852.0625280599297,0.3998090944951169,85.07911933656699,97.58064179314323,0.050595238095238096,0.14474502090915203,0.0
6,1394.1374695248078,0.36904761904761907,4053.319791953491,0.43275636197089173,87.90672214553634,92.55787976977331,0.047619047619047616,0.15505522682851192,0.0
7,1362.8270356858104,0.37797619047619047,4122.301634207992,0.4453510019757756,87.82535710859815,99.00520288063797,0.02976190476190476,0.13197707187288601,0.0
8,1512.216311031481,0.4017857142857143,4205.081368449659,0.4237879512883973,85.55180100089903,91.30625498315864,0.03273809523809524,0.1893853060188062,0.0
9,1532.1926698473917,0.3601190476190476,4049.5917534614036,0.4264250317192787,88.0254678037547,95.51900315126062,0.02976190476190476,0.13596746199965942,0.0
10,1565.7527620735314,0.3869047619047619,3694.5447749852974,0.387578174415112,83.90378341986431,92.29103777841812,0.03273809523809524,0.1365712080713824,0.0
